num	question	a	b	c	d	solution
1	Was war am 8. Mai 1945?	Ende des Zweiten Weltkriegs in Europa	Tod Adolf Hitlers	Wahl von Konrad Adenauer zum Bundeskanzler	Beginn des Berliner Mauerbaus	a
2	Was gab es während der Zeit des Nationalsozialismus in Deutschland?	das Recht zur freien Entfaltung der Persönlichkeit	den Schutz der Menschenwürde	das Verbot von Parteien	Pressefreiheit	c
3	Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?	Willy Brandt	Konrad Adenauer	Kurt Georg Kiesinger	Helmut Schmidt	b
4	Wie endete der Zweite Weltkrieg in Europa offiziell?	durch eine Revolution in Deutschland	mit dem Rückzug der Deutschen aus den besetzten Gebieten	mit dem Tod Adolf Hitlers	durch die bedingungslose Kapitulation Deutschlands	d
5	In welchem Jahr wurde Hitler Reichskanzler?	1923	1927	1933	1936	c
6	Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?	1945 bis 1989	1933 bis 1945	1932 bis 1950	1918 bis 1923	b
7	Das "Dritte Reich" war eine …	Räterepublik.	Monarchie.	Diktatur.	Demokratie.	c
8	Welcher Krieg dauerte von 1939 bis 1945?	der Golfkrieg	der Erste Weltkrieg	der Zweite Weltkrieg	der Vietnamkrieg	c
9	In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?	1925	1930	1938	1945	c
10	Was passierte am 9. November 1938 in Deutschland?	Die Nationalsozialisten verlieren eine Wahl und lösen den Reichstag auf	Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört	Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg	Hitler wird Reichspräsident und lässt alle Parteien verbieten	b
11	Wann waren die Nationalsozialisten in Deutschland an der Macht?	1888 bis 1918	1921 bis 1934	1933 bis 1945	1949 bis 1963	c
12	Claus Schenk Graf von Stauffenberg wurde bekannt durch …	das Attentat auf Hitler am 20. Juli 1944.	den Aufbau der Wehrmacht.	eine Goldmedaille bei den Olympischen Spielen 1936.	den Bau des Reichstagsgebäudes.	a
13	Wann war der Zweite Weltkrieg zu Ende?	1945	1961	1949	1933	a
14	Was kennzeichnete den NS-Staat? Eine Politik …	der allgemeinen Religionsfreiheit	der Entwicklung der Demokratie	der Meinungsfreiheit	des staatlichen Rassismus	d
15	Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?	Verfolgung der Juden	freie Wahlen	Pressezensur	willkürliche Verhaftungen	b
16	Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland …	ein Fürstentum.	einen demokratischen Staat.	eine Diktatur.	eine Monarchie.	c
17	Wer baute die Mauer in Berlin?	die DDR	die USA	Großbritannien	die Bundesrepublik Deutschland	a
18	Bei welchen Demonstrationen in Deutschland riefen die Menschen "Wir sind das Volk"?	bei den Demonstrationen 1968 in der Bundesrepublik Deutschland	bei den Montagsdemonstrationen 1989 in der DDR	beim Arbeiteraufstand 1953 in der DDR	bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland	b
19	Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als "Alliierte Besatzungsmächte" bezeichnet?	Frankreich, Sowjetunion, Italien, Japan	USA, Sowjetunion, Spanien, Portugal	USA, Sowjetunion, Großbritannien, Frankreich	Sowjetunion, Großbritannien, Polen, Schweden	c
20	Welches Land war keine "Alliierte Besatzungsmacht" in Deutschland?	Sowjetunion	Japan	USA	Frankreich	b
21	Wann wurde die Bundesrepublik Deutschland gegründet?	1939	1945	1949	1951	c
22	In welcher Besatzungszone wurde die DDR gegründet? In der …	sowjetischen Besatzungszone	französischen Besatzungszone	amerikanischen Besatzungszone	britischen Besatzungszone	a
23	Wann wurde die DDR gegründet?	1947	1949	1953	1956	b
24	Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?	3	4	5	6	b
25	Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?	Dresden	München	Frankfurt/Oder	Berlin	d
